"Player","Team","Number","Position","Birthdate","College","Year"
"Calvin Jackson","Miami Dolphins","--","DB","1972-10-28","Auburn","1996"
"Nate Dingle","Jacksonville Jaguars","--","LB","1972-09-22","Cincinnati","1996"
"Mike Bartrum","New England Patriots","--","TE","1970-06-23","Marshall","1996"
"Terrell Buckley","Miami Dolphins","--","DB","1971-06-07","Florida State","1996"
"Ramondo Stallings","Cincinnati Bengals","--","DE","1971-11-21","San Diego State","1996"
"Ted Washington","Buffalo Bills","--","DT","1968-04-13","Louisville","1996"
"Troy Drayton","Miami Dolphins","--","TE","1970-06-29","Penn State","1996"
"Bernardo Harris","Green Bay Packers","--","LB","1971-10-15","North Carolina","1996"
"Josh Miller","Pittsburgh Steelers","--","P","1970-07-14","Arizona","1996"
"Will Wolford","Pittsburgh Steelers","--","OT","1964-05-18","Vanderbilt","1996"
"Ricardo McDonald","Cincinnati Bengals","--","LB","1969-11-08","Pittsburgh","1996"
"Frank Winters","Green Bay Packers","--","C","1964-01-23","Western Illinois","1996"
"Brian Hansen","New York Jets","--","P","1960-10-26","Sioux Falls","1996"
"Fred Thomas","Seattle Seahawks","--","DB","1973-09-11","Tennessee-Martin","1996"
"Mike Alstott","Tampa Bay Buccaneers","--","RB","1973-12-21","Purdue","1996"
"Frank Beede","Seattle Seahawks","--","OG","1973-05-01","Panhandle State","1996"
"Jim Sweeney","Pittsburgh Steelers","--","C","1962-08-08","Pittsburgh","1996"
"Tony Berti","San Diego Chargers","--","OT","1972-06-21","Colorado","1996"
"Glenn Cadrez","Denver Broncos","--","LB","1970-01-02","Houston","1996"
"Brad Johnson","Minnesota Vikings","--","QB","1968-09-13","Florida State","1996"
"Vincent Brisby","New England Patriots","--","WR","1971-01-25","Northeast Louisiana","1996"
"Mark Dennis","Carolina Panthers","--","OT","1965-04-15","Illinois","1996"
"Craig Newsome","Green Bay Packers","--","DB","1971-08-10","Arizona State","1996"
"Jason Belser","Indianapolis Colts","--","DB","1970-05-28","Oklahoma","1996"
"Amani Toomer","New York Giants","--","WR","1974-09-08","Michigan","1996"
"Eric Mahlum","Indianapolis Colts","--","OG","1970-12-06","California","1996"
"Corey Holliday","Pittsburgh Steelers","--","WR","1971-01-31","North Carolina","1996"
"Darryl Morrison","Washington Redskins","--","DB","1971-05-19","Arizona","1996"
"David Diaz-Infante","Denver Broncos","--","OG","1964-03-31","San Jose State","1996"
"Tyrone Davis","New York Jets","--","TE","1972-06-30","Virginia","1996"
"Charles Mincy","Tampa Bay Buccaneers","--","DB","1969-12-16","Washington","1996"
"Todd Sauerbrun","Chicago Bears","--","P","1973-01-04","West Virginia","1996"
"Chris Villarrial","Chicago Bears","--","OG","1973-06-09","Indiana (PA)","1996"
"James Harris","Los Angeles Rams","--","DE","1968-05-13","Temple","1996"
"Tony Stargell","Kansas City Chiefs","--","DB","1966-08-07","Tennessee State","1996"
"Martin Harrison","Minnesota Vikings","--","DE","1967-09-20","Washington","1996"
"Morris Unutoa","Philadelphia Eagles","--","C","1971-03-10","Brigham Young","1996"
"Eric England","Arizona Cardinals","--","DE","1971-03-25","Texas A&amp;M","1996"
"Courtney Hall","San Diego Chargers","--","C","1968-08-26","Rice","1996"
"Myron Bell","Pittsburgh Steelers","--","DB","1971-09-15","Michigan State","1996"
"Ron Stone","New York Giants","--","OG","1971-07-20","Boston College","1996"
"Vernon Lewis","New England Patriots","--","DB","1970-10-27","Pittsburgh","1996"
"Frank Pollack","San Francisco 49ers","--","OT","1967-11-05","Northern Arizona","1996"
"Paul Justin","Indianapolis Colts","--","QB","1968-05-19","Arizona State","1996"
"Mike Arthur","Green Bay Packers","--","C","1968-05-07","Texas A&amp;M","1996"
"Keith McKenzie","Green Bay Packers","--","DE","1973-10-17","Ball State","1996"
"Anthony Newman","New Orleans Saints","--","DB","1965-11-21","Oregon","1996"
"Dave Widell","Jacksonville Jaguars","--","C","1965-05-14","Boston College","1996"
"Mike Zandofsky","Atlanta Falcons","--","OG","1965-11-30","Washington","1996"
"Mike Horan","New York Giants","--","P","1959-02-01","Long Beach State","1996"
"Lenny McGill","Atlanta Falcons","--","DB","1971-05-31","Arizona State","1996"
"Jim Flanigan","Chicago Bears","--","DT","1971-08-27","Notre Dame","1996"
"Aaron Beasley","Jacksonville Jaguars","--","DB","1973-07-07","West Virginia","1996"
"Ed Cunningham","Seattle Seahawks","--","C","1969-08-17","Washington","1996"
"Dietrich Jells","New England Patriots","--","WR","1972-04-11","Pittsburgh","1996"
"Todd Peterson","Seattle Seahawks","--","K","1970-02-04","Georgia","1996"
"Greg Myers","Cincinnati Bengals","--","DB","1972-09-30","Colorado State","1996"
"Bernard Dafney","Pittsburgh Steelers","--","OT","1968-11-01","Tennessee","1996"
"Pete Metzelaars","Detroit Lions","--","TE","1960-05-24","Wabash","1996"
"Ernest Dye","Arizona Cardinals","--","OT","1971-07-15","South Carolina","1996"
"Louis Oliver","Miami Dolphins","--","DB","1966-03-09","Florida","1996"
"Michael Timpson","Chicago Bears","--","WR","1967-06-06","Penn State","1996"
"Cedric Jones","New York Giants","--","DE","1974-04-30","Oklahoma","1996"
"Chuck Smith","Atlanta Falcons","--","DE","1969-12-21","Tennessee","1996"
"Bam Morris","Baltimore Ravens","--","RB","1972-01-13","Texas Tech","1996"
"Tim Brown","Oakland Raiders","--","WR","1966-07-22","Notre Dame","1996"
"Mike Frederick","Baltimore Ravens","--","DE","1972-08-06","Virginia","1996"
"Brian Blades","Seattle Seahawks","--","WR","1965-07-24","Miami","1996"
"Johnny McWilliams","Arizona Cardinals","--","TE","1972-12-14","Southern California","1996"
"Dana Hall","Jacksonville Jaguars","--","DB","1969-07-08","Washington","1996"
"Lee Johnson","Cincinnati Bengals","--","P","1961-11-27","Brigham Young","1996"
"Leslie Shepherd","Washington Redskins","--","WR","1969-11-03","Temple","1996"
"Sam Adams","Seattle Seahawks","--","DT","1973-06-13","Texas A&amp;M","1996"
"Leon Searcy","Jacksonville Jaguars","--","OT","1969-12-21","Miami","1996"
"Bobby Hamilton","New York Jets","--","DE","1971-07-01","Southern Mississippi","1996"
"Rich Braham","Cincinnati Bengals","--","C","1970-11-06","West Virginia","1996"
"Mark Gunn","New York Jets","--","DT","1968-07-24","Pittsburgh","1996"
"Chip Lohmiller","Los Angeles Rams","--","K","1966-07-16","Minnesota","1996"
"Keith Burns","Denver Broncos","--","LB","1972-05-16","Oklahoma State","1996"
"Carl Simpson","Chicago Bears","--","DE","1970-04-18","Florida State","1996"
"Neil Smith","Kansas City Chiefs","--","DE","1966-04-10","Nebraska","1996"
"Kirk Lowdermilk","Indianapolis Colts","--","C","1963-04-10","Ohio State","1996"
"Joe Nedney","Miami Dolphins","--","K","1973-03-22","San Jose State","1996"
"Coleman Rudolph","New York Giants","--","LB","1970-10-22","Georgia Tech","1996"
"Marcus Jones","Tampa Bay Buccaneers","--","DE","1973-08-15","North Carolina","1996"
"Kerwin Waldroup","Detroit Lions","--","DE","1974-08-01","Central State","1996"
"William Henderson","Green Bay Packers","--","RB","1971-02-19","North Carolina","1996"
"Mike Fox","Carolina Panthers","--","DE","1967-08-05","West Virginia","1996"
"Bobby Houston","New York Jets","--","LB","1967-10-26","North Carolina State","1996"
"Kevin Henry","Pittsburgh Steelers","--","DE","1968-10-23","Mississippi State","1996"
"Alonzo Spellman","Chicago Bears","--","DE","1971-09-27","Ohio State","1996"
"Jamie Brown","Denver Broncos","--","OT","1972-04-24","Florida A&amp;M","1996"
"Bobby Taylor","Philadelphia Eagles","--","DB","1973-12-28","Notre Dame","1996"
"Korey Stringer","Minnesota Vikings","--","OT","1974-05-08","Ohio State","1996"
"Larry Centers","Arizona Cardinals","--","RB","1968-06-01","Stephen F. Austin","1996"
"Louie Aguiar","Kansas City Chiefs","--","P","1966-06-30","Utah State","1996"
"Bryce Paup","Buffalo Bills","--","LB","1968-02-29","Northern Iowa","1996"
"Clif Groce","Indianapolis Colts","--","RB","1972-07-30","Texas A&amp;M","1996"
"Bucky Brooks","Green Bay Packers","--","DB","1971-01-22","North Carolina","1996"
"Reggie Barlow","Jacksonville Jaguars","--","WR","1973-01-22","Alabama State","1996"
"Gabe Northern","Buffalo Bills","--","DE","1974-06-08","Louisiana State","1996"
"Mark Pike","Buffalo Bills","--","LB","1963-12-27","Georgia Tech","1996"
"Toi Cook","Carolina Panthers","--","DB","1964-12-03","Stanford","1996"
"Conrad Hamilton","New York Giants","--","DB","1974-11-05","Eastern New Mexico","1996"
"Larry Bowie","Washington Redskins","--","RB","1973-03-21","Georgia","1996"
"Zack Crockett","Indianapolis Colts","--","RB","1972-12-02","Florida State","1996"
"Lamont Hollinquest","Green Bay Packers","--","LB","1970-10-24","Southern California","1996"
"Tyrone Legette","Tampa Bay Buccaneers","--","DB","1970-02-15","Nebraska","1996"
"Gus Frerotte","Washington Redskins","--","QB","1971-07-31","Tulsa","1996"
"John Elway","Denver Broncos","--","QB","1960-06-28","Stanford","1996"
"Tony Boselli","Jacksonville Jaguars","--","OT","1972-04-17","Southern California","1996"
"Bob Whitfield","Atlanta Falcons","--","OT","1971-10-18","Stanford","1996"
"Jerrol Williams","Baltimore Ravens","--","LB","1967-07-05","Purdue","1996"
"Jeff Robinson","Denver Broncos","--","TE","1970-02-20","Idaho","1996"
"Steve White","Tampa Bay Buccaneers","--","DE","1973-10-25","Tennessee","1996"
"Terry Irving","Arizona Cardinals","--","LB","1971-07-03","McNeese State","1996"
"Patrick Sapp","San Diego Chargers","--","LB","1973-05-11","Clemson","1996"
"Jason Kyle","Seattle Seahawks","--","LB","1972-05-12","Arizona State","1996"
"Sam Mills","Carolina Panthers","--","LB","1959-06-03","Montclair State","1996"
"Marlon Kerner","Buffalo Bills","--","DB","1973-03-18","Ohio State","1996"
"Robert Griffith","Minnesota Vikings","--","DB","1970-11-30","San Diego State","1996"
"Harold Morrow","Minnesota Vikings","--","RB","1973-02-24","Auburn","1996"
"Jason Dunn","Philadelphia Eagles","--","TE","1973-11-15","Eastern Kentucky","1996"
"Mark Fields","New Orleans Saints","--","LB","1972-11-09","Washington State","1996"
"Chris Doering","Indianapolis Colts","--","WR","1973-05-19","Florida","1996"
"James McKnight","Seattle Seahawks","--","WR","1972-06-17","Liberty","1996"
"Jim Miller","Pittsburgh Steelers","--","QB","1971-02-09","Michigan State","1996"
"Brent Alexander","Arizona Cardinals","--","DB","1970-07-10","Tennessee State","1996"
"Emmanuel McDaniel","Carolina Panthers","--","DB","1972-07-27","East Carolina","1996"
"Troy Brown","New England Patriots","--","WR","1971-07-02","Marshall","1996"
"Tyronne Drakeford","San Francisco 49ers","--","DB","1971-06-21","Virginia Tech","1996"
"Jeff Herrod","Indianapolis Colts","--","LB","1966-07-29","Mississippi","1996"
"Bo Orlando","Cincinnati Bengals","--","DB","1966-04-03","West Virginia","1996"
"Dave Thomas","Jacksonville Jaguars","--","DB","1968-08-25","Tennessee","1996"
"Curtis Whitley","Carolina Panthers","--","C","1969-05-10","Clemson","1996"
"Brent Williams","New York Jets","--","DE","1964-10-23","Toledo","1996"
"Duval Love","Arizona Cardinals","--","OG","1963-06-24","UCLA","1996"
"Brian Walker","Washington Redskins","--","DB","1972-05-31","Washington State","1996"
"Calvin Williams","Baltimore Ravens","--","WR","1967-03-03","Purdue","1996"
"Sean Landeta","Los Angeles Rams","--","P","1962-01-06","Towson","1996"
"Jeff Lewis","Denver Broncos","--","QB","1973-04-17","Northern Arizona","1996"
"Frank Wainright","Miami Dolphins","--","TE","1967-10-10","Northern Colorado","1996"
"Robert Bailey","Miami Dolphins","--","DB","1968-09-03","Miami","1996"
"Ronnie Williams","Seattle Seahawks","--","TE","1966-01-19","Oklahoma State","1996"
"Rod Milstead","San Francisco 49ers","--","OG","1969-11-10","Delaware State","1996"
"Darnay Scott","Cincinnati Bengals","--","WR","1972-07-07","San Diego State","1996"
"Marty Carter","Chicago Bears","--","DB","1969-12-17","Middle Tennessee State","1996"
"Harald Hasselbach","Denver Broncos","--","DE","1967-09-22","Washington","1996"
"Frankie Smith","San Francisco 49ers","--","DB","1968-10-08","Baylor","1996"
"William Bell","Washington Redskins","--","RB","1971-07-22","Georgia Tech","1996"
"Thomas Lewis","New York Giants","--","WR","1972-01-10","Indiana","1996"
"Marlon Forbes","Chicago Bears","--","DB","1971-12-25","Penn State","1996"
"Reggie Johnson","Kansas City Chiefs","--","TE","1968-01-27","Florida State","1996"
"J.J. Birden","Atlanta Falcons","--","WR","1965-06-16","Oregon","1996"
"Steve Martin","Indianapolis Colts","--","DT","1974-05-31","Missouri","1996"
"Mike Compton","Detroit Lions","--","C","1970-09-18","West Virginia","1996"
"Doug Colman","New York Giants","--","LB","1973-06-04","Nebraska","1996"
"Greg Jefferson","Philadelphia Eagles","--","DT","1977-08-31","Central Florida","1996"
"Dwayne Sabb","New England Patriots","--","LB","1969-10-09","New Hampshire","1996"
"Jermane Mayberry","Philadelphia Eagles","--","OG","1973-08-29","Texas A&amp;M-Kingsville","1996"
"Eric Bieniemy","Cincinnati Bengals","--","RB","1969-08-15","Colorado","1996"
"Chris Gray","Miami Dolphins","--","OG","1970-06-19","Auburn","1996"
"Roger Duffy","New York Jets","--","C","1967-07-16","Penn State","1996"
"James Roe","Baltimore Ravens","--","WR","1973-09-23","Norfolk State","1996"
"Derrick Thomas","Kansas City Chiefs","--","LB","1967-01-01","Alabama","1996"
"Robert Davis","Chicago Bears","--","C","1968-12-10","Shippensburg","1996"
"Willie Clark","San Diego Chargers","--","DB","1972-01-06","Notre Dame","1996"
"Michael Brandon","San Francisco 49ers","--","DE","1968-07-30","Florida","1996"
"Herschel Walker","Dallas Cowboys","--","RB","1962-03-03","Georgia","1996"
"David Sloan","Detroit Lions","--","TE","1972-06-08","New Mexico","1996"
"Matt Turk","Washington Redskins","--","P","1968-06-16","Wisconsin-Whitewater","1996"
"Robert Porcher","Detroit Lions","--","DE","1969-07-30","South Carolina State","1996"
"Kevin Mawae","Seattle Seahawks","--","C","1971-01-23","Louisiana State","1996"
"Isaac Bruce","Los Angeles Rams","--","WR","1972-11-10","Memphis","1996"
"Tony Johnson","New Orleans Saints","--","TE","1972-02-05","Alabama","1996"
"Keith Cash","Kansas City Chiefs","--","TE","1969-08-07","Texas","1996"
"Wayne Simmons","Green Bay Packers","--","LB","1969-12-15","Clemson","1996"
"John Flannery","Dallas Cowboys","--","C","1969-01-13","Syracuse","1996"
"Cal Dixon","Miami Dolphins","--","C","1969-10-11","Florida","1996"
"Adam Vinatieri","New England Patriots","--","K","1972-12-28","South Dakota State","1996"
"Darren Anderson","Kansas City Chiefs","--","DB","1969-01-11","Toledo","1996"
"Tony Tolbert","Dallas Cowboys","--","DE","1967-12-29","Texas-El Paso","1996"
"Kevin Mitchell","San Francisco 49ers","--","LB","1971-01-01","Syracuse","1996"
"Bert Emanuel","Atlanta Falcons","--","WR","1970-10-27","Rice","1996"
"Leonard Wheeler","Cincinnati Bengals","--","DB","1969-01-15","Troy State","1996"
"Everett McIver","Miami Dolphins","--","OG","1970-08-05","Elizabeth City State","1996"
"Greg Engel","San Diego Chargers","--","C","1971-01-18","Illinois","1996"
"Jerry Ball","Oakland Raiders","--","DT","1964-12-15","Southern Methodist","1996"
"Anthony Marshall","Chicago Bears","--","DB","1970-09-16","Louisiana State","1996"
"Emanuel Martin","Buffalo Bills","--","DB","1969-07-31","Alabama State","1996"
"Hurvin McCormack","Dallas Cowboys","--","DT","1972-04-06","Indiana","1996"
"Roman Phifer","Los Angeles Rams","--","LB","1968-03-05","UCLA","1996"
"Ferric Collons","New England Patriots","--","DE","1969-12-04","California","1996"
"Matt LaBounty","Seattle Seahawks","--","DE","1969-01-03","Oregon","1996"
"Ryan Wetnight","Chicago Bears","--","TE","1970-11-05","Stanford","1996"
"Scott Galbraith","Washington Redskins","--","TE","1967-01-07","Southern California","1996"
"Troy Vincent","Philadelphia Eagles","--","DB","1971-06-08","Wisconsin","1996"
"Stevie Anderson","Arizona Cardinals","--","WR","1970-05-12","Grambling","1996"
"Harper LeBel","Atlanta Falcons","--","TE","1963-07-14","Colorado State","1996"
"Chris Maumalanga","Arizona Cardinals","--","DT","1971-12-15","Kansas","1996"
"Kez McCorvey","Detroit Lions","--","WR","1972-01-23","Florida State","1996"
"Rondell Jones","Denver Broncos","--","DB","1971-05-07","North Carolina","1996"
"Gene Atkins","Miami Dolphins","--","DB","1964-11-22","Florida A&amp;M","1996"
"Ron George","Atlanta Falcons","--","LB","1970-03-20","Stanford","1996"
"Terance Mathis","Atlanta Falcons","--","WR","1967-06-07","New Mexico","1996"
"Chris Hetherington","Indianapolis Colts","--","RB","1972-11-27","Yale","1996"
"Chris Spielman","Buffalo Bills","--","LB","1965-10-11","Ohio State","1996"
"Reuben Davis","San Diego Chargers","--","DT","1965-05-07","North Carolina","1996"
"Sean Hill","Miami Dolphins","--","DB","1971-08-14","Montana State","1996"
"James Folston","Oakland Raiders","--","LB","1971-08-14","Northeast Louisiana","1996"
"Rashaan Salaam","Chicago Bears","--","RB","1974-10-08","Colorado","1996"
"Mike Tomczak","Pittsburgh Steelers","--","QB","1962-10-23","Ohio State","1996"
"Wayne Gandy","Los Angeles Rams","--","OT","1971-02-10","Auburn","1996"
"Frank Sanders","Arizona Cardinals","--","WR","1973-02-17","Auburn","1996"
"Leo Goeas","Los Angeles Rams","--","OG","1966-08-15","Hawaii","1996"
"Marvin Harrison","Indianapolis Colts","--","WR","1972-08-25","Syracuse","1996"
"Tony Mayberry","Tampa Bay Buccaneers","--","C","1967-12-08","Wake Forest","1996"
"Howard Griffith","Carolina Panthers","--","RB","1967-11-17","Illinois","1996"
"Donnie Edwards","Kansas City Chiefs","--","LB","1973-04-06","UCLA","1996"
"Jamal Anderson","Atlanta Falcons","--","RB","1972-09-30","Utah","1996"
"Charles Evans","Minnesota Vikings","--","RB","1967-04-16","Clark Atlanta","1996"
"Ray McElroy","Indianapolis Colts","--","DB","1972-07-31","Eastern Illinois","1996"
"Tyrone Poole","Carolina Panthers","--","DB","1972-02-03","Fort Valley State","1996"
"Jason Elam","Denver Broncos","--","K","1970-03-08","Hawaii","1996"
"Fred Strickland","Dallas Cowboys","--","LB","1966-08-15","Purdue","1996"
"Randy Fuller","Pittsburgh Steelers","--","DB","1970-06-02","Tennessee State","1996"
"Corey Sawyer","Cincinnati Bengals","--","DB","1971-10-04","Florida State","1996"
"Tim Lester","Pittsburgh Steelers","--","RB","1968-06-15","Eastern Kentucky","1996"
"Bob Kratch","New England Patriots","--","OG","1966-01-06","Iowa","1996"
"Derrick Harris","Los Angeles Rams","--","RB","1972-09-18","Miami","1996"
"Erik Kramer","Chicago Bears","--","QB","1964-11-06","North Carolina State","1996"
"Danny Kanell","New York Giants","--","QB","1973-11-21","Florida State","1996"
"Steve Atwater","Denver Broncos","--","DB","1966-10-28","Arkansas","1996"
"Tom Tumulty","Cincinnati Bengals","--","LB","1973-02-11","Pittsburgh","1996"
"Max Lane","New England Patriots","--","OT","1971-02-22","Navy","1996"
"Ryan Kuehl","Washington Redskins","--","DT","1972-01-18","Virginia","1996"
"Rob Zatechka","New York Giants","--","OG","1971-12-01","Nebraska","1996"
"Jonathan Hayes","Pittsburgh Steelers","--","TE","1962-08-11","Iowa","1996"
"Tony Casillas","Dallas Cowboys","--","DT","1963-10-26","Oklahoma","1996"
"Brian Washington","Kansas City Chiefs","--","DB","1965-09-10","Nebraska","1996"
"Devin Bush","Atlanta Falcons","--","DB","1973-07-03","Florida State","1996"
"Randy Neal","Cincinnati Bengals","--","LB","1972-10-29","Virginia","1996"
"Rich Gannon","Kansas City Chiefs","--","QB","1965-12-20","Delaware","1996"
"Britt Hager","Denver Broncos","--","LB","1966-02-20","Texas","1996"
"Pat Harlow","Oakland Raiders","--","OT","1969-03-16","Southern California","1996"
"Frank Hartley","Baltimore Ravens","--","TE","1967-12-15","Illinois","1996"
"Tracy Simien","Kansas City Chiefs","--","LB","1967-05-21","Texas Christian","1996"
"Broderick Thomas","Dallas Cowboys","--","DE","1967-02-20","Nebraska","1996"
"Justin Strzelczyk","Pittsburgh Steelers","--","OT","1968-08-18","Maine","1996"
"Lorenzo Styles","Atlanta Falcons","--","LB","1974-01-31","Ohio State","1996"
"Tony Cline","Buffalo Bills","--","TE","1971-11-24","Stanford","1996"
"Tony Semple","Detroit Lions","--","OG","1970-12-20","Memphis","1996"
"Chris Shelling","Cincinnati Bengals","--","DB","1972-11-03","Auburn","1996"
"Tony Siragusa","Indianapolis Colts","--","DT","1967-05-14","Pittsburgh","1996"
"Eric Curry","Tampa Bay Buccaneers","--","DE","1970-02-03","Alabama","1996"
"Karl Williams","Tampa Bay Buccaneers","--","WR","1971-04-10","Texas A&amp;M-Kingsville","1996"
"Chad Eaton","New England Patriots","--","DT","1972-04-06","Washington State","1996"
"Stanley Richard","Washington Redskins","--","DB","1967-10-21","Texas","1996"
"Keith Crawford","Los Angeles Rams","--","DB","1970-11-21","Howard Payne","1996"
"Morten Andersen","Atlanta Falcons","--","K","1960-08-19","Michigan State","1996"
"Brian Roche","San Diego Chargers","--","TE","1973-05-05","San Jose State","1996"
"Rob Selby","Arizona Cardinals","--","OG","1967-10-11","Auburn","1996"
"Matthew Campbell","Carolina Panthers","--","OG","1972-07-14","South Carolina","1996"
"Joe Aska","Oakland Raiders","--","RB","1972-07-14","Central Oklahoma","1996"
"Craig Hentrich","Green Bay Packers","--","P","1971-05-18","Notre Dame","1996"
"Vaughn Booker","Kansas City Chiefs","--","DE","1968-02-24","Cincinnati","1996"
"Vinny Testaverde","Baltimore Ravens","--","QB","1963-11-13","Miami","1996"
"Darren Bennett","San Diego Chargers","--","P","1965-01-09","","1996"
"Mike Wells","Detroit Lions","--","DT","1971-01-06","Iowa","1996"
"Kyle Brady","New York Jets","--","TE","1972-01-14","Penn State","1996"
"Richard Dent","Indianapolis Colts","--","DE","1960-12-13","Tennessee State","1996"
"Shannon Clavelle","Green Bay Packers","--","DE","1973-10-12","Colorado","1996"
"Will Moore","New England Patriots","--","WR","1970-02-21","Texas Southern","1996"
"Joe Phillips","Kansas City Chiefs","--","DT","1963-07-15","Southern Methodist","1996"
"Bennie Blades","Detroit Lions","--","DB","1966-09-03","Miami","1996"
"Dan Footman","Baltimore Ravens","--","DE","1969-01-13","Florida State","1996"
"Chad Bratzke","New York Giants","--","DE","1971-09-15","Eastern Kentucky","1996"
"Billy Davis","Dallas Cowboys","--","WR","1972-07-06","Pittsburgh","1996"
"Terrance Shaw","San Diego Chargers","--","DB","1973-11-11","Stephen F. Austin","1996"
"Vince Workman","Indianapolis Colts","--","RB","1968-05-09","Ohio State","1996"
"Ernest Dixon","New Orleans Saints","--","LB","1971-10-17","South Carolina","1996"
"David Brandon","Atlanta Falcons","--","LB","1965-02-09","Memphis","1996"
"Ray Lewis","Baltimore Ravens","--","LB","1975-05-15","Miami","1996"
"Randall Godfrey","Dallas Cowboys","--","LB","1973-04-06","Georgia","1996"
"Curtis Martin","New England Patriots","--","RB","1973-05-01","Pittsburgh","1996"
"Je'Rod Cherry","New Orleans Saints","--","DB","1973-05-30","California","1996"
"Tony McGee","Cincinnati Bengals","--","TE","1971-04-21","Michigan","1996"
"Wade Wilson","Dallas Cowboys","--","QB","1959-02-01","Texas A&amp;M-Commerce","1996"
"Norm Johnson","Pittsburgh Steelers","--","K","1960-05-31","UCLA","1996"
"Oliver Gibson","Pittsburgh Steelers","--","DT","1972-03-15","Notre Dame","1996"
"Roy Barker","San Francisco 49ers","--","DE","1969-02-14","North Carolina","1996"
"Matt Stevens","Buffalo Bills","--","DB","1973-06-15","Appalachian State","1996"
"Richie Anderson","New York Jets","--","RB","1971-09-13","Penn State","1996"
"Torrance Small","New Orleans Saints","--","WR","1970-09-06","Alcorn State","1996"
"Jevon Langford","Cincinnati Bengals","--","DE","1974-02-16","Oklahoma State","1996"
"Darren Woodson","Dallas Cowboys","--","DB","1969-04-25","Arizona State","1996"
"Matt Darby","Arizona Cardinals","--","DB","1968-11-19","UCLA","1996"
"Doug Evans","Green Bay Packers","--","DB","1970-05-13","Louisiana Tech","1996"
"Robert Smith","Minnesota Vikings","--","RB","1972-03-04","Ohio State","1996"
"Darren Mickell","New Orleans Saints","--","DE","1970-08-03","Florida","1996"
"Ellis Johnson","Indianapolis Colts","--","DT","1973-10-30","Florida","1996"
"Craig Erickson","Miami Dolphins","--","QB","1969-05-17","Miami","1996"
"Stan Gelbaugh","Seattle Seahawks","--","QB","1962-12-04","Maryland","1996"
"Danny Villa","Kansas City Chiefs","--","C","1964-09-21","Arizona State","1996"
"Shane Matthews","Chicago Bears","--","QB","1970-06-01","Florida","1996"
"Jerry Drake","Arizona Cardinals","--","DT","1969-07-09","Hastings","1996"
"Tony Bennett","Indianapolis Colts","--","DE","1967-07-01","Mississippi","1996"
"Dedrick Dodge","San Francisco 49ers","--","DB","1967-06-14","Florida State","1996"
"John Bock","Miami Dolphins","--","C","1971-02-11","Indiana State","1996"
"Corey Louchiey","Buffalo Bills","--","OT","1971-10-10","South Carolina","1996"
"Blake Brockermeyer","Carolina Panthers","--","OT","1973-04-11","Texas","1996"
"Jorge Diaz","Tampa Bay Buccaneers","--","OG","1973-11-15","Texas A&amp;M-Kingsville","1996"
"James Burton","Chicago Bears","--","DB","1971-04-27","Fresno State","1996"
"Thurman Thomas","Buffalo Bills","--","RB","1966-05-16","Oklahoma State","1996"
"Bruce Smith","Buffalo Bills","--","DE","1963-06-18","Virginia Tech","1996"
"Todd Scott","Tampa Bay Buccaneers","--","DB","1968-01-23","Southwestern Louisiana","1996"
"Pete Stoyanovich","Kansas City Chiefs","--","K","1967-04-28","Indiana","1996"
"Reggie McElroy","Denver Broncos","--","OT","1960-03-04","West Texas A&amp;M","1996"
"Eric Metcalf","Atlanta Falcons","--","RB","1968-01-23","Texas","1996"
"Toby Wright","Los Angeles Rams","--","DB","1970-11-19","Nebraska","1996"
"Harry Boatswain","New York Jets","--","OG","1969-06-26","New Haven","1996"
"Ariel Solomon","Minnesota Vikings","--","C","1968-07-16","Colorado","1996"
"Jason Mathews","Indianapolis Colts","--","OT","1971-02-09","Texas A&amp;M","1996"
"Brentson Buckner","Pittsburgh Steelers","--","DT","1971-09-30","Clemson","1996"
"Kavika Pittman","Dallas Cowboys","--","DE","1974-10-09","McNeese State","1996"
"Eric Davis","Carolina Panthers","--","DB","1968-01-26","Jacksonville State","1996"
"Pete Bercich","Minnesota Vikings","--","LB","1971-12-23","Notre Dame","1996"
"Wesley Walls","Carolina Panthers","--","TE","1966-02-26","Mississippi","1996"
"Muhsin Muhammad","Carolina Panthers","--","WR","1973-05-05","Michigan State","1996"
"Louis Riddick","Atlanta Falcons","--","DB","1969-03-15","Pittsburgh","1996"
"Kerry Collins","Carolina Panthers","--","QB","1972-12-30","Penn State","1996"
"Steve Morrison","Indianapolis Colts","--","LB","1971-12-28","Michigan","1996"
"Richmond Webb","Miami Dolphins","--","OT","1967-01-11","Texas A&amp;M","1996"
"Browning Nagle","Atlanta Falcons","--","QB","1968-04-29","Louisville","1996"
"David Tate","Indianapolis Colts","--","DB","1964-11-22","Colorado","1996"
"Chidi Ahanotu","Tampa Bay Buccaneers","--","DE","1970-10-11","California","1996"
"Joe Walter","Cincinnati Bengals","--","OT","1963-06-18","Texas Tech","1996"
"Brian Stablein","Indianapolis Colts","--","WR","1970-04-14","Ohio State","1996"
"Jeff George","Atlanta Falcons","--","QB","1967-12-08","Illinois","1996"
"Eric Moulds","Buffalo Bills","--","WR","1973-07-17","Mississippi State","1996"
"Yancey Thigpen","Pittsburgh Steelers","--","WR","1969-08-15","Winston-Salem State","1996"
"J.J. McCleskey","Arizona Cardinals","--","DB","1970-04-10","Tennessee","1996"
"William Thomas","Philadelphia Eagles","--","LB","1968-08-13","Texas A&amp;M","1996"
