"Player","Team","Number","Position","Birthdate","College","Year"
"Pio Sagapolutele","New Orleans Saints","--","DT","1969-11-28","San Diego State","1997"
"Amp Lee","Los Angeles Rams","--","RB","1971-10-01","Florida State","1997"
"Calvin Jackson","Miami Dolphins","--","DB","1972-10-28","Auburn","1997"
"Nate Dingle","Los Angeles Rams","--","LB","1972-09-22","Cincinnati","1997"
"Mike Bartrum","New England Patriots","--","TE","1970-06-23","Marshall","1997"
"Terrell Buckley","Miami Dolphins","--","DB","1971-06-07","Florida State","1997"
"Tarek Saleh","Carolina Panthers","--","LB","1974-11-07","Wisconsin","1997"
"Ramondo Stallings","Cincinnati Bengals","--","DE","1971-11-21","San Diego State","1997"
"Ted Washington","Buffalo Bills","--","DT","1968-04-13","Louisville","1997"
"Troy Drayton","Miami Dolphins","--","TE","1970-06-29","Penn State","1997"
"Chad Scott","Pittsburgh Steelers","--","DB","1974-09-06","Maryland","1997"
"Bernardo Harris","Green Bay Packers","--","LB","1971-10-15","North Carolina","1997"
"Josh Miller","Pittsburgh Steelers","--","P","1970-07-14","Arizona","1997"
"Will Wolford","Pittsburgh Steelers","--","OT","1964-05-18","Vanderbilt","1997"
"Ricardo McDonald","Cincinnati Bengals","--","LB","1969-11-08","Pittsburgh","1997"
"Casey Wiegmann","Chicago Bears","--","C","1973-07-20","Iowa","1997"
"Frank Winters","Green Bay Packers","--","C","1964-01-23","Western Illinois","1997"
"Brian Hansen","New York Jets","--","P","1960-10-26","Sioux Falls","1997"
"Fred Thomas","Seattle Seahawks","--","DB","1973-09-11","Tennessee-Martin","1997"
"Mike Alstott","Tampa Bay Buccaneers","--","RB","1973-12-21","Purdue","1997"
"Frank Beede","Seattle Seahawks","--","OG","1973-05-01","Panhandle State","1997"
"Jim Sweeney","Pittsburgh Steelers","--","C","1962-08-08","Pittsburgh","1997"
"Tony Berti","San Diego Chargers","--","OT","1972-06-21","Colorado","1997"
"Glenn Cadrez","Denver Broncos","--","LB","1970-01-02","Houston","1997"
"Brad Johnson","Minnesota Vikings","--","QB","1968-09-13","Florida State","1997"
"Vincent Brisby","New England Patriots","--","WR","1971-01-25","Northeast Louisiana","1997"
"Tarik Glenn","Indianapolis Colts","--","OT","1976-05-25","California","1997"
"Craig Newsome","Green Bay Packers","--","DB","1971-08-10","Arizona State","1997"
"Jason Belser","Indianapolis Colts","--","DB","1970-05-28","Oklahoma","1997"
"Amani Toomer","New York Giants","--","WR","1974-09-08","Michigan","1997"
"Corey Holliday","Pittsburgh Steelers","--","WR","1971-01-31","North Carolina","1997"
"Terry Cousin","Chicago Bears","--","DB","1975-03-11","South Carolina","1997"
"David Diaz-Infante","Denver Broncos","--","OG","1964-03-31","San Jose State","1997"
"Eric Guliford","New Orleans Saints","--","WR","1969-10-25","Arizona State","1997"
"Chris Thomas","Washington Redskins","--","WR","1971-07-16","Cal Poly-S.L.O.","1997"
"Tyrone Davis","Green Bay Packers","--","TE","1972-06-30","Virginia","1997"
"Charles Mincy","Tampa Bay Buccaneers","--","DB","1969-12-16","Washington","1997"
"Zack Bronson","San Francisco 49ers","--","DB","1974-01-28","McNeese State","1997"
"Todd Sauerbrun","Chicago Bears","--","P","1973-01-04","West Virginia","1997"
"Chris Villarrial","Chicago Bears","--","OG","1973-06-09","Indiana (PA)","1997"
"Tony Stargell","Chicago Bears","--","DB","1966-08-07","Tennessee State","1997"
"Martin Harrison","Seattle Seahawks","--","DE","1967-09-20","Washington","1997"
"Morris Unutoa","Philadelphia Eagles","--","C","1971-03-10","Brigham Young","1997"
"Myron Bell","Pittsburgh Steelers","--","DB","1971-09-15","Michigan State","1997"
"Ron Stone","New York Giants","--","OG","1971-07-20","Boston College","1997"
"Frank Pollack","San Francisco 49ers","--","OT","1967-11-05","Northern Arizona","1997"
"Paul Justin","Indianapolis Colts","--","QB","1968-05-19","Arizona State","1997"
"Keith McKenzie","Green Bay Packers","--","DE","1973-10-17","Ball State","1997"
"Anthony Newman","New Orleans Saints","--","DB","1965-11-21","Oregon","1997"
"Dave Widell","Jacksonville Jaguars","--","C","1965-05-14","Boston College","1997"
"Mike Zandofsky","Philadelphia Eagles","--","OG","1965-11-30","Washington","1997"
"Scott Bentley","Denver Broncos","--","K","1974-04-10","Florida State","1997"
"Mike Horan","Los Angeles Rams","--","P","1959-02-01","Long Beach State","1997"
"Lenny McGill","Atlanta Falcons","--","DB","1971-05-31","Arizona State","1997"
"Jim Flanigan","Chicago Bears","--","DT","1971-08-27","Notre Dame","1997"
"Aaron Beasley","Jacksonville Jaguars","--","DB","1973-07-07","West Virginia","1997"
"Dietrich Jells","New England Patriots","--","WR","1972-04-11","Pittsburgh","1997"
"Todd Peterson","Seattle Seahawks","--","K","1970-02-04","Georgia","1997"
"Greg Myers","Cincinnati Bengals","--","DB","1972-09-30","Colorado State","1997"
"Bernard Dafney","Baltimore Ravens","--","OT","1968-11-01","Tennessee","1997"
"Pete Metzelaars","Detroit Lions","--","TE","1960-05-24","Wabash","1997"
"Ernest Dye","Los Angeles Rams","--","OT","1971-07-15","South Carolina","1997"
"Michael Timpson","Philadelphia Eagles","--","WR","1967-06-06","Penn State","1997"
"Cedric Jones","New York Giants","--","DE","1974-04-30","Oklahoma","1997"
"Chuck Smith","Atlanta Falcons","--","DE","1969-12-21","Tennessee","1997"
"Bam Morris","Baltimore Ravens","--","RB","1972-01-13","Texas Tech","1997"
"Tim Brown","Oakland Raiders","--","WR","1966-07-22","Notre Dame","1997"
"Mike Frederick","Baltimore Ravens","--","DE","1972-08-06","Virginia","1997"
"Brian Blades","Seattle Seahawks","--","WR","1965-07-24","Miami","1997"
"Johnny McWilliams","Arizona Cardinals","--","TE","1972-12-14","Southern California","1997"
"Dana Hall","Jacksonville Jaguars","--","DB","1969-07-08","Washington","1997"
"Ty Howard","Arizona Cardinals","--","DB","1973-11-30","Ohio State","1997"
"Lee Johnson","Cincinnati Bengals","--","P","1961-11-27","Brigham Young","1997"
"Leslie Shepherd","Washington Redskins","--","WR","1969-11-03","Temple","1997"
"Michael Booker","Atlanta Falcons","--","DB","1975-04-27","Nebraska","1997"
"Dedric Ward","New York Jets","--","WR","1974-09-29","Northern Iowa","1997"
"Sammy Knight","New Orleans Saints","--","DB","1975-09-10","Southern California","1997"
"Sam Adams","Seattle Seahawks","--","DT","1973-06-13","Texas A&amp;M","1997"
"Leon Searcy","Jacksonville Jaguars","--","OT","1969-12-21","Miami","1997"
"Bobby Hamilton","New York Jets","--","DE","1971-07-01","Southern Mississippi","1997"
"Rich Braham","Cincinnati Bengals","--","C","1970-11-06","West Virginia","1997"
"Jamie Nails","Buffalo Bills","--","OG","1975-06-03","Florida A&amp;M","1997"
"Keith Burns","Denver Broncos","--","LB","1972-05-16","Oklahoma State","1997"
"Carl Simpson","Chicago Bears","--","DE","1970-04-18","Florida State","1997"
"Mitch Jacoby","Los Angeles Rams","--","TE","1973-12-08","Northern Illinois","1997"
"Neil Smith","Denver Broncos","--","DE","1966-04-10","Nebraska","1997"
"Joe Nedney","Arizona Cardinals","--","K","1973-03-22","San Jose State","1997"
"Marcus Jones","Tampa Bay Buccaneers","--","DE","1973-08-15","North Carolina","1997"
"Kerwin Waldroup","Detroit Lions","--","DE","1974-08-01","Central State","1997"
"William Henderson","Green Bay Packers","--","RB","1971-02-19","North Carolina","1997"
"Mike Fox","Carolina Panthers","--","DE","1967-08-05","West Virginia","1997"
"John Henry Mills","Oakland Raiders","--","RB","1969-10-31","Wake Forest","1997"
"Bobby Houston","Kansas City Chiefs","--","LB","1967-10-26","North Carolina State","1997"
"Kevin Henry","Pittsburgh Steelers","--","DE","1968-10-23","Mississippi State","1997"
"Alonzo Spellman","Chicago Bears","--","DE","1971-09-27","Ohio State","1997"
"Derek Engler","New York Giants","--","C","1974-07-11","Wisconsin","1997"
"Jamie Brown","Denver Broncos","--","OT","1972-04-24","Florida A&amp;M","1997"
"Bobby Taylor","Philadelphia Eagles","--","DB","1973-12-28","Notre Dame","1997"
"Korey Stringer","Minnesota Vikings","--","OT","1974-05-08","Ohio State","1997"
"Larry Centers","Arizona Cardinals","--","RB","1968-06-01","Stephen F. Austin","1997"
"Louie Aguiar","Kansas City Chiefs","--","P","1966-06-30","Utah State","1997"
"Bryce Paup","Buffalo Bills","--","LB","1968-02-29","Northern Iowa","1997"
"Clif Groce","Indianapolis Colts","--","RB","1972-07-30","Texas A&amp;M","1997"
"Bucky Brooks","Kansas City Chiefs","--","DB","1971-01-22","North Carolina","1997"
"Reggie Barlow","Jacksonville Jaguars","--","WR","1973-01-22","Alabama State","1997"
"Gabe Northern","Buffalo Bills","--","DE","1974-06-08","Louisiana State","1997"
"Mark Pike","Buffalo Bills","--","LB","1963-12-27","Georgia Tech","1997"
"Mike Mohring","San Diego Chargers","--","DT","1974-03-22","Pittsburgh","1997"
"Toi Cook","Carolina Panthers","--","DB","1964-12-03","Stanford","1997"
"Conrad Hamilton","New York Giants","--","DB","1974-11-05","Eastern New Mexico","1997"
"Larry Bowie","Washington Redskins","--","RB","1973-03-21","Georgia","1997"
"Zack Crockett","Indianapolis Colts","--","RB","1972-12-02","Florida State","1997"
"Lamont Hollinquest","Green Bay Packers","--","LB","1970-10-24","Southern California","1997"
"Tyrone Legette","Tampa Bay Buccaneers","--","DB","1970-02-15","Nebraska","1997"
"Gus Frerotte","Washington Redskins","--","QB","1971-07-31","Tulsa","1997"
"John Elway","Denver Broncos","--","QB","1960-06-28","Stanford","1997"
"Tony Boselli","Jacksonville Jaguars","--","OT","1972-04-17","Southern California","1997"
"Bob Whitfield","Atlanta Falcons","--","OT","1971-10-18","Stanford","1997"
"Billy Granville","Cincinnati Bengals","--","LB","1974-03-11","Duke","1997"
"Jeff Robinson","Los Angeles Rams","--","TE","1970-02-20","Idaho","1997"
"Steve White","Tampa Bay Buccaneers","--","DE","1973-10-25","Tennessee","1997"
"Terry Irving","Arizona Cardinals","--","LB","1971-07-03","McNeese State","1997"
"Kelly Holcomb","Indianapolis Colts","--","QB","1973-07-09","Middle Tennessee State","1997"
"Patrick Sapp","San Diego Chargers","--","LB","1973-05-11","Clemson","1997"
"Freddie Jones","San Diego Chargers","--","TE","1974-09-16","North Carolina","1997"
"Al Wallace","Philadelphia Eagles","--","DE","1974-03-25","Maryland","1997"
"Sam Mills","Carolina Panthers","--","LB","1959-06-03","Montclair State","1997"
"Marlon Kerner","Buffalo Bills","--","DB","1973-03-18","Ohio State","1997"
"Robert Griffith","Minnesota Vikings","--","DB","1970-11-30","San Diego State","1997"
"Harold Morrow","Minnesota Vikings","--","RB","1973-02-24","Auburn","1997"
"Jason Dunn","Philadelphia Eagles","--","TE","1973-11-15","Eastern Kentucky","1997"
"Mark Fields","New Orleans Saints","--","LB","1972-11-09","Washington State","1997"
"Chris Doering","Indianapolis Colts","--","WR","1973-05-19","Florida","1997"
"James McKnight","Seattle Seahawks","--","WR","1972-06-17","Liberty","1997"
"Dwayne Rudd","Minnesota Vikings","--","LB","1976-02-03","Alabama","1997"
"Brent Alexander","Arizona Cardinals","--","DB","1970-07-10","Tennessee State","1997"
"Eugene Chung","Indianapolis Colts","--","C","1969-06-14","Virginia Tech","1997"
"Emmanuel McDaniel","Indianapolis Colts","--","DB","1972-07-27","East Carolina","1997"
"Mike Logan","Jacksonville Jaguars","--","DB","1974-09-15","West Virginia","1997"
"Troy Brown","New England Patriots","--","WR","1971-07-02","Marshall","1997"
"Tyronne Drakeford","San Francisco 49ers","--","DB","1971-06-21","Virginia Tech","1997"
"Jeff Herrod","Philadelphia Eagles","--","LB","1966-07-29","Mississippi","1997"
"Bo Orlando","Cincinnati Bengals","--","DB","1966-04-03","West Virginia","1997"
"Dave Thomas","Jacksonville Jaguars","--","DB","1968-08-25","Tennessee","1997"
"Curtis Whitley","Oakland Raiders","--","C","1969-05-10","Clemson","1997"
"Brian Walker","Washington Redskins","--","DB","1972-05-31","Washington State","1997"
"Sean Landeta","Tampa Bay Buccaneers","--","P","1962-01-06","Towson","1997"
"Kenny Bynum","San Diego Chargers","--","RB","1974-05-29","South Carolina State","1997"
"Jeff Lewis","Denver Broncos","--","QB","1973-04-17","Northern Arizona","1997"
"Frank Wainright","Miami Dolphins","--","TE","1967-10-10","Northern Colorado","1997"
"Robert Bailey","Detroit Lions","--","DB","1968-09-03","Miami","1997"
"Ryan Tucker","Los Angeles Rams","--","OT","1975-06-12","Texas Christian","1997"
"Rod Milstead","San Francisco 49ers","--","OG","1969-11-10","Delaware State","1997"
"Chad Fann","San Francisco 49ers","--","TE","1970-06-07","Florida A&amp;M","1997"
"Darnay Scott","Cincinnati Bengals","--","WR","1972-07-07","San Diego State","1997"
"Marty Carter","Chicago Bears","--","DB","1969-12-17","Middle Tennessee State","1997"
"Harald Hasselbach","Denver Broncos","--","DE","1967-09-22","Washington","1997"
"Frankie Smith","San Francisco 49ers","--","DB","1968-10-08","Baylor","1997"
"Thomas Lewis","New York Giants","--","WR","1972-01-10","Indiana","1997"
"Marlon Forbes","Chicago Bears","--","DB","1971-12-25","Penn State","1997"
"Walter Jones","Seattle Seahawks","--","OT","1974-01-19","Florida State","1997"
"Reggie Johnson","Green Bay Packers","--","TE","1968-01-27","Florida State","1997"
"Steve Martin","Indianapolis Colts","--","DT","1974-05-31","Missouri","1997"
"Mike Compton","Detroit Lions","--","C","1970-09-18","West Virginia","1997"
"Doug Colman","New York Giants","--","LB","1973-06-04","Nebraska","1997"
"Greg Jefferson","Philadelphia Eagles","--","DT","1977-08-31","Central Florida","1997"
"Jermane Mayberry","Philadelphia Eagles","--","OG","1973-08-29","Texas A&amp;M-Kingsville","1997"
"Eric Bieniemy","Cincinnati Bengals","--","RB","1969-08-15","Colorado","1997"
"Chris Gray","Chicago Bears","--","OG","1970-06-19","Auburn","1997"
"Roger Duffy","New York Jets","--","C","1967-07-16","Penn State","1997"
"James Roe","Baltimore Ravens","--","WR","1973-09-23","Norfolk State","1997"
"Derrick Thomas","Kansas City Chiefs","--","LB","1967-01-01","Alabama","1997"
"Robert Davis","Green Bay Packers","--","C","1968-12-10","Shippensburg","1997"
"Willie Clark","Philadelphia Eagles","--","DB","1972-01-06","Notre Dame","1997"
"Herschel Walker","Dallas Cowboys","--","RB","1962-03-03","Georgia","1997"
"David Sloan","Detroit Lions","--","TE","1972-06-08","New Mexico","1997"
"Matt Turk","Washington Redskins","--","P","1968-06-16","Wisconsin-Whitewater","1997"
"Robert Porcher","Detroit Lions","--","DE","1969-07-30","South Carolina State","1997"
"Fred McCrary","New Orleans Saints","--","RB","1972-09-19","Mississippi State","1997"
"Kevin Mawae","Seattle Seahawks","--","C","1971-01-23","Louisiana State","1997"
"Isaac Bruce","Los Angeles Rams","--","WR","1972-11-10","Memphis","1997"
"Ink Aleaga","New Orleans Saints","--","LB","1973-04-27","Washington","1997"
"Tony Johnson","New Orleans Saints","--","TE","1972-02-05","Alabama","1997"
"Wayne Simmons","Kansas City Chiefs","--","LB","1969-12-15","Clemson","1997"
"John Flannery","Dallas Cowboys","--","C","1969-01-13","Syracuse","1997"
"Adam Vinatieri","New England Patriots","--","K","1972-12-28","South Dakota State","1997"
"Darren Anderson","Kansas City Chiefs","--","DB","1969-01-11","Toledo","1997"
"Tony Tolbert","Dallas Cowboys","--","DE","1967-12-29","Texas-El Paso","1997"
"Kevin Mitchell","San Francisco 49ers","--","LB","1971-01-01","Syracuse","1997"
"Bert Emanuel","Atlanta Falcons","--","WR","1970-10-27","Rice","1997"
"Leonard Wheeler","Minnesota Vikings","--","DB","1969-01-15","Troy State","1997"
"Everett McIver","Miami Dolphins","--","OG","1970-08-05","Elizabeth City State","1997"
"Greg Engel","San Diego Chargers","--","C","1971-01-18","Illinois","1997"
"Jerry Ball","Minnesota Vikings","--","DT","1964-12-15","Southern Methodist","1997"
"Anthony Marshall","Chicago Bears","--","DB","1970-09-16","Louisiana State","1997"
"Emanuel Martin","Buffalo Bills","--","DB","1969-07-31","Alabama State","1997"
"Hurvin McCormack","Dallas Cowboys","--","DT","1972-04-06","Indiana","1997"
"Roman Phifer","Los Angeles Rams","--","LB","1968-03-05","UCLA","1997"
"Ferric Collons","New England Patriots","--","DE","1969-12-04","California","1997"
"Matt LaBounty","Seattle Seahawks","--","DE","1969-01-03","Oregon","1997"
"Ryan Wetnight","Chicago Bears","--","TE","1970-11-05","Stanford","1997"
"Scott Galbraith","Dallas Cowboys","--","TE","1967-01-07","Southern California","1997"
"Troy Vincent","Philadelphia Eagles","--","DB","1971-06-08","Wisconsin","1997"
"Stalin Colinet","Minnesota Vikings","--","DT","1974-07-19","Boston College","1997"
"Harper LeBel","Chicago Bears","--","TE","1963-07-14","Colorado State","1997"
"Kez McCorvey","Detroit Lions","--","WR","1972-01-23","Florida State","1997"
"Rondell Jones","Baltimore Ravens","--","DB","1971-05-07","North Carolina","1997"
"Marcus Price","San Diego Chargers","--","OT","1972-03-03","Louisiana State","1997"
"Ron George","Minnesota Vikings","--","LB","1970-03-20","Stanford","1997"
"Terance Mathis","Atlanta Falcons","--","WR","1967-06-07","New Mexico","1997"
"Antowain Smith","Buffalo Bills","--","RB","1972-03-14","Houston","1997"
"Chris Hetherington","Indianapolis Colts","--","RB","1972-11-27","Yale","1997"
"Chris Spielman","Buffalo Bills","--","LB","1965-10-11","Ohio State","1997"
"James Folston","Oakland Raiders","--","LB","1971-08-14","Northeast Louisiana","1997"
"Rashaan Salaam","Chicago Bears","--","RB","1974-10-08","Colorado","1997"
"Mike Tomczak","Pittsburgh Steelers","--","QB","1962-10-23","Ohio State","1997"
"Wayne Gandy","Los Angeles Rams","--","OT","1971-02-10","Auburn","1997"
"Frank Sanders","Arizona Cardinals","--","WR","1973-02-17","Auburn","1997"
"Leo Goeas","Baltimore Ravens","--","OG","1966-08-15","Hawaii","1997"
"Marvin Harrison","Indianapolis Colts","--","WR","1972-08-25","Syracuse","1997"
"Tony Mayberry","Tampa Bay Buccaneers","--","C","1967-12-08","Wake Forest","1997"
"Howard Griffith","Denver Broncos","--","RB","1967-11-17","Illinois","1997"
"Chris Dishman","Arizona Cardinals","--","C","1974-02-27","Nebraska","1997"
"Donnie Edwards","Kansas City Chiefs","--","LB","1973-04-06","UCLA","1997"
"Jamal Anderson","Atlanta Falcons","--","RB","1972-09-30","Utah","1997"
"Charles Evans","Minnesota Vikings","--","RB","1967-04-16","Clark Atlanta","1997"
"Ray McElroy","Indianapolis Colts","--","DB","1972-07-31","Eastern Illinois","1997"
"Tyrone Poole","Carolina Panthers","--","DB","1972-02-03","Fort Valley State","1997"
"John Holecek","Buffalo Bills","--","LB","1972-05-07","Illinois","1997"
"Jason Elam","Denver Broncos","--","K","1970-03-08","Hawaii","1997"
"Fred Strickland","Dallas Cowboys","--","LB","1966-08-15","Purdue","1997"
"Edward Ellis","New England Patriots","--","OT","1975-10-13","Buffalo","1997"
"Randy Fuller","Pittsburgh Steelers","--","DB","1970-06-02","Tennessee State","1997"
"Corey Sawyer","Cincinnati Bengals","--","DB","1971-10-04","Florida State","1997"
"Tim Lester","Pittsburgh Steelers","--","RB","1968-06-15","Eastern Kentucky","1997"
"Erik Kramer","Chicago Bears","--","QB","1964-11-06","North Carolina State","1997"
"Danny Kanell","New York Giants","--","QB","1973-11-21","Florida State","1997"
"Steve Atwater","Denver Broncos","--","DB","1966-10-28","Arkansas","1997"
"George Jones","Pittsburgh Steelers","--","RB","1973-12-31","San Diego State","1997"
"Tom Tumulty","Cincinnati Bengals","--","LB","1973-02-11","Pittsburgh","1997"
"Max Lane","New England Patriots","--","OT","1971-02-22","Navy","1997"
"Ryan Kuehl","Washington Redskins","--","DT","1972-01-18","Virginia","1997"
"Rob Zatechka","New York Giants","--","OG","1971-12-01","Nebraska","1997"
"Dexter Coakley","Dallas Cowboys","--","LB","1972-10-20","Appalachian State","1997"
"Tony Casillas","Dallas Cowboys","--","DT","1963-10-26","Oklahoma","1997"
"Devin Bush","Atlanta Falcons","--","DB","1973-07-03","Florida State","1997"
"Charlie Clemons","Los Angeles Rams","--","LB","1972-07-04","Georgia","1997"
"Rich Gannon","Kansas City Chiefs","--","QB","1965-12-20","Delaware","1997"
"Britt Hager","Los Angeles Rams","--","LB","1966-02-20","Texas","1997"
"Pat Harlow","Oakland Raiders","--","OT","1969-03-16","Southern California","1997"
"Frank Hartley","San Diego Chargers","--","TE","1967-12-15","Illinois","1997"
"Tracy Simien","Kansas City Chiefs","--","LB","1967-05-21","Texas Christian","1997"
"Broderick Thomas","Dallas Cowboys","--","DE","1967-02-20","Nebraska","1997"
"Justin Strzelczyk","Pittsburgh Steelers","--","OT","1968-08-18","Maine","1997"
"Lorenzo Styles","Los Angeles Rams","--","LB","1974-01-31","Ohio State","1997"
"Tony Cline","Buffalo Bills","--","TE","1971-11-24","Stanford","1997"
"Reidel Anthony","Tampa Bay Buccaneers","--","WR","1976-10-20","Florida","1997"
"Tony Semple","Detroit Lions","--","OG","1970-12-20","Memphis","1997"
"Chris Shelling","Atlanta Falcons","--","DB","1972-11-03","Auburn","1997"
"Tony Siragusa","Baltimore Ravens","--","DT","1967-05-14","Pittsburgh","1997"
"Eric Curry","Tampa Bay Buccaneers","--","DE","1970-02-03","Alabama","1997"
"Karl Williams","Tampa Bay Buccaneers","--","WR","1971-04-10","Texas A&amp;M-Kingsville","1997"
"Chad Eaton","New England Patriots","--","DT","1972-04-06","Washington State","1997"
"Stanley Richard","Washington Redskins","--","DB","1967-10-21","Texas","1997"
"Keith Crawford","Los Angeles Rams","--","DB","1970-11-21","Howard Payne","1997"
"Morten Andersen","Atlanta Falcons","--","K","1960-08-19","Michigan State","1997"
"Bryant Westbrook","Detroit Lions","--","DB","1974-12-19","Texas","1997"
"Brian Roche","San Diego Chargers","--","TE","1973-05-05","San Jose State","1997"
"Rob Selby","Arizona Cardinals","--","OG","1967-10-11","Auburn","1997"
"Matthew Campbell","Carolina Panthers","--","OG","1972-07-14","South Carolina","1997"
"Joe Aska","Oakland Raiders","--","RB","1972-07-14","Central Oklahoma","1997"
"Craig Hentrich","Green Bay Packers","--","P","1971-05-18","Notre Dame","1997"
"Vaughn Booker","Kansas City Chiefs","--","DE","1968-02-24","Cincinnati","1997"
"Vinny Testaverde","Baltimore Ravens","--","QB","1963-11-13","Miami","1997"
"Darren Bennett","San Diego Chargers","--","P","1965-01-09","","1997"
"Mike Wells","Detroit Lions","--","DT","1971-01-06","Iowa","1997"
"Kyle Brady","New York Jets","--","TE","1972-01-14","Penn State","1997"
"Canute Curtis","Cincinnati Bengals","--","LB","1974-08-04","West Virginia","1997"
"Richard Dent","Philadelphia Eagles","--","DE","1960-12-13","Tennessee State","1997"
"Shannon Clavelle","Kansas City Chiefs","--","DE","1973-10-12","Colorado","1997"
"Will Moore","Jacksonville Jaguars","--","WR","1970-02-21","Texas Southern","1997"
"Joe Phillips","Kansas City Chiefs","--","DT","1963-07-15","Southern Methodist","1997"
"Jamie Sharper","Baltimore Ravens","--","LB","1974-11-23","Virginia","1997"
"Bennie Blades","Seattle Seahawks","--","DB","1966-09-03","Miami","1997"
"Richie Cunningham","Dallas Cowboys","--","K","1970-08-18","Southwestern Louisiana","1997"
"Dan Footman","Indianapolis Colts","--","DE","1969-01-13","Florida State","1997"
"Chad Bratzke","New York Giants","--","DE","1971-09-15","Eastern Kentucky","1997"
"Billy Davis","Dallas Cowboys","--","WR","1972-07-06","Pittsburgh","1997"
"Terrance Shaw","San Diego Chargers","--","DB","1973-11-11","Stephen F. Austin","1997"
"Ernest Dixon","New Orleans Saints","--","LB","1971-10-17","South Carolina","1997"
"Tim McTyer","Philadelphia Eagles","--","DB","1975-12-14","Brigham Young","1997"
"David Brandon","Atlanta Falcons","--","LB","1965-02-09","Memphis","1997"
"Ray Lewis","Baltimore Ravens","--","LB","1975-05-15","Miami","1997"
"Randall Godfrey","Dallas Cowboys","--","LB","1973-04-06","Georgia","1997"
"Curtis Martin","New England Patriots","--","RB","1973-05-01","Pittsburgh","1997"
"Je'Rod Cherry","New Orleans Saints","--","DB","1973-05-30","California","1997"
"Rae Carruth","Carolina Panthers","--","WR","1974-01-20","Colorado","1997"
"Tony McGee","Cincinnati Bengals","--","TE","1971-04-21","Michigan","1997"
"Wade Wilson","Dallas Cowboys","--","QB","1959-02-01","Texas A&amp;M-Commerce","1997"
"Norm Johnson","Pittsburgh Steelers","--","K","1960-05-31","UCLA","1997"
"Oliver Gibson","Pittsburgh Steelers","--","DT","1972-03-15","Notre Dame","1997"
"Roy Barker","San Francisco 49ers","--","DE","1969-02-14","North Carolina","1997"
"Matt Stevens","Philadelphia Eagles","--","DB","1973-06-15","Appalachian State","1997"
"Richie Anderson","New York Jets","--","RB","1971-09-13","Penn State","1997"
"Torrance Small","Los Angeles Rams","--","WR","1970-09-06","Alcorn State","1997"
"Jevon Langford","Cincinnati Bengals","--","DE","1974-02-16","Oklahoma State","1997"
"Darren Woodson","Dallas Cowboys","--","DB","1969-04-25","Arizona State","1997"
"Matt Darby","Arizona Cardinals","--","DB","1968-11-19","UCLA","1997"
"Doug Evans","Green Bay Packers","--","DB","1970-05-13","Louisiana Tech","1997"
"Robert Smith","Minnesota Vikings","--","RB","1972-03-04","Ohio State","1997"
"Darren Mickell","New Orleans Saints","--","DE","1970-08-03","Florida","1997"
"Ellis Johnson","Indianapolis Colts","--","DT","1973-10-30","Florida","1997"
"Craig Erickson","Miami Dolphins","--","QB","1969-05-17","Miami","1997"
"Danny Villa","New England Patriots","--","C","1964-09-21","Arizona State","1997"
"Tony Bennett","Indianapolis Colts","--","DE","1967-07-01","Mississippi","1997"
"Dedrick Dodge","Denver Broncos","--","DB","1967-06-14","Florida State","1997"
"John Bock","Miami Dolphins","--","C","1971-02-11","Indiana State","1997"
"Corey Louchiey","Buffalo Bills","--","OT","1971-10-10","South Carolina","1997"
"Blake Brockermeyer","Carolina Panthers","--","OT","1973-04-11","Texas","1997"
"Jorge Diaz","Tampa Bay Buccaneers","--","OG","1973-11-15","Texas A&amp;M-Kingsville","1997"
"James Burton","Chicago Bears","--","DB","1971-04-27","Fresno State","1997"
"Thurman Thomas","Buffalo Bills","--","RB","1966-05-16","Oklahoma State","1997"
"Bruce Smith","Buffalo Bills","--","DE","1963-06-18","Virginia Tech","1997"
"Todd Scott","Kansas City Chiefs","--","DB","1968-01-23","Southwestern Louisiana","1997"
"Pete Stoyanovich","Kansas City Chiefs","--","K","1967-04-28","Indiana","1997"
"Eric Metcalf","San Diego Chargers","--","RB","1968-01-23","Texas","1997"
"Toby Wright","Los Angeles Rams","--","DB","1970-11-19","Nebraska","1997"
"Jason Mathews","Indianapolis Colts","--","OT","1971-02-09","Texas A&amp;M","1997"
"Brentson Buckner","Cincinnati Bengals","--","DT","1971-09-30","Clemson","1997"
"Kavika Pittman","Dallas Cowboys","--","DE","1974-10-09","McNeese State","1997"
"Kevin Lockett","Kansas City Chiefs","--","WR","1974-09-08","Kansas State","1997"
"Eric Davis","Carolina Panthers","--","DB","1968-01-26","Jacksonville State","1997"
"Pete Bercich","Minnesota Vikings","--","LB","1971-12-23","Notre Dame","1997"
"Michael Swift","San Diego Chargers","--","DB","1974-02-28","Austin Peay","1997"
"Wesley Walls","Carolina Panthers","--","TE","1966-02-26","Mississippi","1997"
"Muhsin Muhammad","Carolina Panthers","--","WR","1973-05-05","Michigan State","1997"
"Kerry Collins","Carolina Panthers","--","QB","1972-12-30","Penn State","1997"
"Steve Morrison","Indianapolis Colts","--","LB","1971-12-28","Michigan","1997"
"Richmond Webb","Miami Dolphins","--","OT","1967-01-11","Texas A&amp;M","1997"
"Bertrand Berry","Indianapolis Colts","--","DE","1975-08-15","Notre Dame","1997"
"David Tate","Indianapolis Colts","--","DB","1964-11-22","Colorado","1997"
